type,exercise_id,video_id,title,path
Video,counting-with-small-numbers,y2-uaPiyoxc,Counting with small numbers,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-counting/counting-with-small-numbers/
Exercise,counting-out-1-20-objects,counting-out-1-20-objects,Count with small numbers,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-counting/counting-out-1-20-objects/
Video,counting-in-order,PEeUTQ0Gri8,Counting in order,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-counting/counting-in-order/
Exercise,counting_1,counting-objects,Count in order,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-counting/counting-objects/
Exercise,one-more--one-less,one-more--one-less,Find 1 more or 1 less than a number,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-counting/one-more--one-less/
Exercise,count-from-any-number,count-from-any-number,Missing numbers,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-numbers-120/count-from-any-number/
Video,number-grid,9XZypM2Z3Ro,Number grid,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-numbers-120/number-grid/
Video,numbers-to-120,1AqkBdCBm9o,Missing numbers between 0 and 120,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-numbers-120/numbers-to-120/
Exercise,the_fundamental_theorem_of_arithmetic,count-to-100,Numbers to 100,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-numbers-120/count-to-100/
Exercise,numbers-to-120_1,numbers-to-120,Numbers to 120,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-numbers-120/numbers-to-120_1/
Exercise,counting-tens,counting-tens,Count tens,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-numbers-120/counting-tens/
Video,counting-in-scenes,leDYnoNSvD4,Counting in pictures,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-count-object-topic/counting-in-scenes/
Exercise,counting-in-scenes_1,counting-in-scenes,Count in pictures,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-count-object-topic/counting-in-scenes_1/
Video,how-many-objects-1,I9S5CvSqb5A,Counting objects 1,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-count-object-topic/how-many-objects-1/
Exercise,how-many-objects-1_1,how-many-objects-1,Count objects 1,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-count-object-topic/how-many-objects-1_1/
Video,counting-objects-2,EUqhLxFccbM,Counting objects 2,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-count-object-topic/counting-objects-2/
Exercise,how-many-objects-2,how-many-objects-2,Count objects 2,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-count-object-topic/how-many-objects-2/
Video,comparing-groups-through-10-example,__nkbr6DeTg,Comparing numbers of objects,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-comparing-numbers/comparing-groups-through-10-example/
Exercise,compare-groups-through-10,compare-groups-through-10,Compare numbers of objects 1,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-comparing-numbers/compare-groups-through-10/
Video,comparing-numbers-through-10-example,tJrSILRXOUc,Comparing numbers on the number line,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-comparing-numbers/comparing-numbers-through-10-example/
Exercise,comparing-numbers-through-10,comparing-numbers-through-10,Comparing numbers to 10,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-comparing-numbers/comparing-numbers-through-10/
Video,count-by-category,UA975j_qsTQ,Counting by category,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-comparing-numbers/count-by-category/
Exercise,sort-groups-by-count,sort-groups-by-count,Compare numbers of objects 2,khan/math/early-math/cc-early-math-counting-topic/cc-early-math-comparing-numbers/sort-groups-by-count/
Video,addition-introduction,fsTD_jqseBA,Intro to addition,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-add-sub-intro/addition-introduction/
Exercise,addition_1,addition_1,Add within 5,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-add-sub-intro/addition_1/
Video,subtraction-introduction,AO9bHbUdg-M,Intro to subtraction,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-add-sub-intro/subtraction-introduction/
Exercise,subtraction_1,subtraction_1,Subtract within 5,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-add-sub-intro/subtraction_1/
Video,adding-fruit,ie0waMJxnTs,Add and subtract: pieces of fruit,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-together-apart/adding-fruit/
Exercise,put-together,put-together,Add within 10,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-together-apart/put-together/
Exercise,take-apart,take-apart,Subtract within 10,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-together-apart/take-apart/
Video,making-5,A-ykhY_IoaU,Making 5,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-making-5-9/making-5/
Exercise,making-five,making-five,Making 5,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-making-5-9/making-five/
Exercise,making-totals-in-different-ways-within-10,making-totals-in-different-ways-within-10,Making small numbers in different ways,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-making-5-9/making-totals-in-different-ways-within-10/
Video,getting-to-10-by-filling-boxes,An46SYAxhtc,Getting to 10 by filling boxes,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-make-10/getting-to-10-by-filling-boxes/
Exercise,making-ten,making-ten,Make 10 (grids and number bonds),khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-make-10/making-ten/
Video,adding-to-10-example,9FC0WT186aY,Adding to 10,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-make-10/adding-to-10-example/
Exercise,making-ten-2,making-ten-2,Make 10,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-make-10/making-ten-2/
Video,relating-addition-and-subtraction,zVLjWIftX_o,Relating addition and subtraction,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-add-subtract-10/relating-addition-and-subtraction/
Video,addition-and-subtraction-within-10,kpEJwpemL2Q,Addition and subtraction within 10,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-add-subtract-10/addition-and-subtraction-within-10/
Exercise,relate-addition-and-subtraction,relate-addition-and-subtraction,Relate addition and subtraction,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-add-subtract-10/relate-addition-and-subtraction/
Video,addition-word-problems-within-10,-3DFzxbP9Fk,Addition word problems within 10,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-add-sub-word-problem-within-10/addition-word-problems-within-10/
Exercise,addition-word-problems-within-10_1,addition-word-problems-within-10,Addition word problems within 10,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-add-sub-word-problem-within-10/addition-word-problems-within-10_1/
Video,subtraction-word-problems-within-10,qSkpZswoZTc,Subtraction word problems within 10,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-add-sub-word-problem-within-10/subtraction-word-problems-within-10/
Exercise,subtraction-word-problems-within-10_1,subtraction-word-problems-within-10,Subtraction word problems within 10,khan/math/early-math/cc-early-math-add-sub-basics/cc-early-math-add-sub-word-problem-within-10/subtraction-word-problems-within-10_1/
Video,teens-and-ten,ourH3ueWNmA,Teens as sums with 10,khan/math/early-math/cc-early-math-place-value-topic/cc-early-math-teens/teens-and-ten/
Video,monkeys-for-party,zqwVKhQV_2w,Teen numbers: monkeys,khan/math/early-math/cc-early-math-place-value-topic/cc-early-math-teens/monkeys-for-party/
Exercise,teen-numbers-1,teen-numbers-1,Teen numbers,khan/math/early-math/cc-early-math-place-value-topic/cc-early-math-teens/teen-numbers-1/
Video,place-value-introduction,wx2gI8iwMCA,Intro to place value,khan/math/early-math/cc-early-math-place-value-topic/cc-early-math-tens/place-value-introduction/
Video,place-value-example,X_PnRFAKbkg,Place value example: 25,khan/math/early-math/cc-early-math-place-value-topic/cc-early-math-tens/place-value-example/
Video,rep-quantity-with-digits,#NAME?,Place value example: 42,khan/math/early-math/cc-early-math-place-value-topic/cc-early-math-tens/rep-quantity-with-digits/
